,_id,symbol,name,categories,createdAt,enabledAttributesFilters,isDraft,isDerivative,nftImageType,totalItems,updatedAt,isFlagged,version
180,61e20147fd5137001097cedb,degods,DeGods,"['pfps', 'art']",2022-01-14T23:03:33.857Z,True,False,False,,,2022-04-03T14:43:44.968Z,,v3
1,61e20147fd5137001097cedb,degods,DeGods,"['pfps', 'art']",2022-01-14T23:03:33.857Z,True,False,,,,,,v1
81,61e20147fd5137001097cedb,degods,DeGods,"['pfps', 'art']",2022-01-14T23:03:33.857Z,True,False,False,,,,,v2
301,61e20147fd5137001097cedb,degods,DeGods,"['pfps', 'art']",2022-01-14T23:03:33.857Z,True,False,False,,,2022-04-18T16:36:19.188Z,,v4
220,61ddf1df60b5e500104e6791,desolates_metaverse,Desolates Metaverse,['virtual_worlds'],2022-01-11T21:08:46.278Z,True,False,False,,,2022-04-03T13:53:16.873Z,,v3
22,61ddf1df60b5e500104e6791,desolates_metaverse,Desolates Metaverse,['virtual_worlds'],2022-01-11T21:08:46.278Z,True,False,False,,,,,v1
293,61ddf1df60b5e500104e6791,desolates_metaverse,Desolates Metaverse,['virtual_worlds'],2022-01-11T21:08:46.278Z,True,False,False,,,2022-04-03T13:53:16.873Z,,v4
122,61ddf1df60b5e500104e6791,desolates_metaverse,Desolates Metaverse,['virtual_worlds'],2022-01-11T21:08:46.278Z,True,False,False,,,,,v2
342,621d72bd26d2ba0011262ffc,diamond_town,DIAMOND TOWN HEADS,['pfps'],2022-03-01T01:11:23.928Z,True,False,False,,,2022-04-18T16:27:48.861Z,,v4
136,621d72bd26d2ba0011262ffc,diamond_town,DIAMOND TOWN HEADS,['pfps'],2022-03-01T01:11:23.928Z,True,False,False,,,,,v3
8,621d72bd26d2ba0011262ffc,diamond_town,DIAMOND TOWN HEADS,['pfps'],2022-03-01T01:11:23.928Z,True,False,False,,,,,v1
55,621d72bd26d2ba0011262ffc,diamond_town,DIAMOND TOWN HEADS,['pfps'],2022-03-01T01:11:23.928Z,True,False,False,,,,,v2
94,623378a5d95bb39a4535c8f4,doge_track,Doge Track: Genesis Doges,['launchpad'],2022-03-17T18:06:29.163Z,True,False,False,,6000.0,2022-03-17T18:06:29.163Z,,v2
161,623378a5d95bb39a4535c8f4,doge_track,Doge Track: Genesis Doges,['launchpad'],2022-03-17T18:06:29.163Z,True,False,False,,6000.0,2022-03-17T18:06:29.163Z,,v3
257,623378a5d95bb39a4535c8f4,doge_track,Doge Track: Genesis Doges,['launchpad'],2022-03-17T18:06:29.163Z,True,False,False,,6000.0,2022-03-17T18:06:29.163Z,,v4
198,62294387765e65573c930af1,drippies,Drippies™️,"['art', None]",2022-03-10T00:17:11.466Z,True,False,False,,5555.0,2022-04-03T14:18:48.386Z,,v3
114,62294387765e65573c930af1,drippies,Drippies™️,"['art', None]",2022-03-10T00:17:11.466Z,True,False,False,,1797.0,,,v2
278,62294387765e65573c930af1,drippies,Drippies™️,"['art', None]",2022-03-10T00:17:11.466Z,True,False,False,,5555.0,2022-04-03T14:18:48.386Z,,v4
332,61bf83e3bc989d001164c73f,enviro,enviro,"['photography', 'virtual_worlds']",2021-12-19T19:11:31.702Z,True,False,False,,,2022-04-18T15:51:09.930Z,,v4
343,624f617a95f92c7e1d933c7a,fadedfoxes,Faded Foxes,"['art', None]",2022-04-07T22:11:06.956Z,True,False,False,,0.0,2022-04-18T16:19:06.105Z,False,v4
312,6155faa73d226d6a3ca19250,famous_fox_federation,Famous Fox Federation,['pfps'],2021-09-30T17:57:59.644Z,True,False,False,,0.0,2022-04-18T15:57:25.039Z,,v4
195,6155faa73d226d6a3ca19250,famous_fox_federation,Famous Fox Federation,['pfps'],2021-09-30T17:57:59.644Z,True,False,False,,0.0,2022-04-03T13:43:32.578Z,,v3
92,6155faa73d226d6a3ca19250,famous_fox_federation,Famous Fox Federation,['pfps'],2021-09-30T17:57:59.644Z,True,False,False,,0.0,,,v2
42,6155faa73d226d6a3ca19250,famous_fox_federation,Famous Fox Federation,['pfps'],2021-09-30T17:57:59.644Z,True,False,False,,0.0,,,v1
318,6250edd395f92c7e1dc69c51,fellowapes,Fellow Apes,"['pfps', 'art']",2022-04-09T02:22:11.739Z,True,False,False,,4421.0,2022-04-18T16:26:22.909Z,False,v4
174,622ee83147a586b152caf7c9,female_hodl_whales,Female HODL Whales,"['pfps', None]",2022-03-14T07:01:05.212Z,True,False,False,,1500.0,,,v3
124,622ee83147a586b152caf7c9,female_hodl_whales,Female HODL Whales,"['pfps', None]",2022-03-14T07:01:05.212Z,True,False,False,,1500.0,,,v2
268,622ee83147a586b152caf7c9,female_hodl_whales,Female HODL Whales,"['pfps', None]",2022-03-14T07:01:05.212Z,True,False,False,,1500.0,,,v4
325,62577d5795f92c7e1dde6c43,flamez,Flavor Flamez,"['pfps', 'art']",2022-04-14T01:48:07.207Z,True,,False,,3322.0,2022-04-18T16:32:21.112Z,,v4
330,623f6c2dbea360023d989471,funguyz,FunGuyz,"['pfps', 'art']",2022-03-26T19:40:29.066Z,True,False,False,,0.0,2022-04-18T16:23:25.872Z,,v4
227,623f6c2dbea360023d989471,funguyz,FunGuyz,"['pfps', 'art']",2022-03-26T19:40:29.066Z,True,False,False,,0.0,2022-04-03T14:21:13.550Z,,v3
58,6154c07e3d226d6a3c178c16,galactic_geckos,GGSG: Galactic Geckos,['pfps'],2021-09-29T19:37:34.912Z,True,False,,,0.0,,,v2
331,6154c07e3d226d6a3c178c16,galactic_geckos,GGSG: Galactic Geckos,['pfps'],2021-09-29T19:37:34.912Z,True,False,False,,0.0,2022-04-18T15:09:29.994Z,False,v4
192,6154c07e3d226d6a3c178c16,galactic_geckos,GGSG: Galactic Geckos,['pfps'],2021-09-29T19:37:34.912Z,True,False,False,,0.0,2022-04-03T13:20:54.894Z,False,v3
16,6154c07e3d226d6a3c178c16,galactic_geckos,GGSG: Galactic Geckos,['pfps'],2021-09-29T19:37:34.912Z,True,False,,,0.0,,,v1
176,6205f46e10ea7b0011f80cbd,generous_robots_dao,Generous Robots DAO,['pfps'],2022-02-11T22:12:35.400Z,True,False,False,,,,False,v3
127,6205f46e10ea7b0011f80cbd,generous_robots_dao,Generous Robots DAO,['pfps'],2022-02-11T22:12:35.400Z,True,False,False,,,,False,v2
270,6205f46e10ea7b0011f80cbd,generous_robots_dao,Generous Robots DAO,['pfps'],2022-02-11T22:12:35.400Z,True,False,False,,,,False,v4
97,616b3047db6fbe0010bdfae9,genopets,Genopets,['art'],2021-10-16T20:03:26.753Z,True,False,False,,,,,v2
223,616b3047db6fbe0010bdfae9,genopets,Genopets,['art'],2021-10-16T20:03:26.753Z,True,False,False,,,2022-04-03T12:34:15.608Z,,v3
295,616b3047db6fbe0010bdfae9,genopets,Genopets,['art'],2021-10-16T20:03:26.753Z,True,False,False,,,2022-04-03T12:34:15.608Z,,v4
213,61c51a6af6d6cf0010916dca,genopets_refined_genotype_crystals,Genopets Refined Genotype Crystals,['games'],2021-12-24T00:55:05.611Z,True,False,False,mp4,,2022-04-03T12:28:04.618Z,,v3
286,61c51a6af6d6cf0010916dca,genopets_refined_genotype_crystals,Genopets Refined Genotype Crystals,['games'],2021-12-24T00:55:05.611Z,True,False,False,mp4,,2022-04-03T12:28:04.618Z,,v4
115,61c51a6af6d6cf0010916dca,genopets_refined_genotype_crystals,Genopets Refined Genotype Crystals,['games'],2021-12-24T00:55:05.611Z,True,False,False,mp4,,,,v2
